Station Name,date,min_temp,Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),max_temp,Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),avg_temp,Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,precip,Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),ET. Std-Grass (mm),ET. Std-Grass Source Flag,ET. Std-Grass Comment,Growing Degree Days (base 5°C) (GDD),Growing Degree Days (base 5°C) Source Flag,Corn Heat Units (germinate on start date) (CHU),Corn Heat Units (germinate on start date) Source Flag,Potato Heat Units (PHU),Potato Heat Units Source Flag
Lethbridge,26-Feb-17,-11.9,ACTUAL,100,-1.9,ACTUAL,100,-7.7,AGGREGATED,100,77.5,AGGREGATED,87.5,0.9,AGGREGATED,using element [Precip. 1-hr other],0.9,AGGREGATED,using element [Precip. 1-hr other],16.5,AGGREGATED,100,353.4,AGGREGATED,100,,,,0,MODELLED,0,MODELLED,0,MODELLED
Lethbridge,27-Feb-17,-20.5,ACTUAL,100,-4.2,ACTUAL,95.8,-11.3,AGGREGATED,100,79.7,AGGREGATED,100,0.9,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],11.5,AGGREGATED,100,196,AGGREGATED,100,,,,0,MODELLED,0,MODELLED,0,MODELLED
Lethbridge,28-Feb-17,-16.4,ACTUAL,100,-6.9,ACTUAL,100,-10.9,AGGREGATED,100,87.9,AGGREGATED,100,1.5,AGGREGATED,using element [Precip. 1-hr other],0.6,AGGREGATED,using element [Precip. 1-hr other],11.6,AGGREGATED,100,268.8,AGGREGATED,100,,,,0,MODELLED,0,MODELLED,0,MODELLED
Lethbridge,01-Mar-17,-13.7,ACTUAL,100,2.6,ACTUAL,100,-3,AGGREGATED,100,61.5,AGGREGATED,100,1.5,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],16.4,AGGREGATED,100,296.8,AGGREGATED,100,,,,0,MODELLED,0,MODELLED,0,MODELLED
Lethbridge,02-Mar-17,-12,ACTUAL,100,4.3,ACTUAL,100,-2.7,AGGREGATED,100,78.2,AGGREGATED,100,1.5,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],19,AGGREGATED,100,201.3,AGGREGATED,100,,,,0,MODELLED,0,MODELLED,0,MODELLED
Lethbridge,03-Mar-17,0,ACTUAL,100,10,ACTUAL,100,4.7,AGGREGATED,100,57,AGGREGATED,100,1.5,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],32.2,AGGREGATED,100,235.6,AGGREGATED,100,,,,0,MODELLED,0,MODELLED,0,MODELLED
Lethbridge,04-Mar-17,-7.5,ACTUAL,100,9.3,ACTUAL,100,1.8,AGGREGATED,100,64.7,AGGREGATED,100,1.5,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],28.1,AGGREGATED,100,233,AGGREGATED,100,,,,0,MODELLED,0,MODELLED,0,MODELLED
Lethbridge,05-Mar-17,-16.5,ACTUAL,100,-7.4,ACTUAL,100,-10.4,AGGREGATED,100,88.5,AGGREGATED,100,2.7,AGGREGATED,using element [Precip. 1-hr other],1.2,AGGREGATED,using element [Precip. 1-hr other],12.8,AGGREGATED,100,53.5,AGGREGATED,100,,,,0,MODELLED,0,MODELLED,0,MODELLED
Lethbridge,06-Mar-17,-20.9,ACTUAL,100,-8.3,ACTUAL,100,-13.6,AGGREGATED,100,87,AGGREGATED,100,2.7,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],7.1,AGGREGATED,100,295,AGGREGATED,100,,,,0,MODELLED,0,MODELLED,0,MODELLED
Lethbridge,07-Mar-17,-14.3,ACTUAL,100,-6.5,ACTUAL,100,-10,AGGREGATED,100,76.6,AGGREGATED,100,2.7,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],11.7,AGGREGATED,100,336.4,AGGREGATED,100,,,,0,MODELLED,0,MODELLED,0,MODELLED
